step,loss,lr,step_time,optimizer,seed,peak_memory_mb,param_norm_l2,grad_norm_l2,update_norm_l2,update_ratio,grad_update_cos,hessian_top_eig
10,143.284725,0.0003,0.093210,adamw,42,132.8374,3.19910494e+02,5.12973674e+01,3.32249888e-01,1.03857139e-03,-6.90981469e-01,nan
20,53.297280,0.0003,0.007875,adamw,42,145.6421,3.19933806e+02,3.94321377e+01,2.37266296e-01,7.41610583e-04,-4.31381632e-01,nan
30,20.501616,0.0003,0.008040,adamw,42,145.6421,3.19937520e+02,1.61039062e+01,1.53114953e-01,4.78577672e-04,-3.11785474e-01,nan
40,12.344828,0.0003,0.007979,adamw,42,145.6421,3.19929157e+02,1.15960132e+01,1.19646920e-01,3.73979418e-04,-3.97422318e-01,nan
50,8.146538,0.0003,0.008095,adamw,42,145.6421,3.19915355e+02,7.87530319e+00,9.63059660e-02,3.01035773e-04,-2.49111641e-01,7.38658264e+02
60,6.196994,0.0003,0.008205,adamw,42,338.0112,3.19899834e+02,5.63806183e+00,8.02308762e-02,2.50799993e-04,-2.51938266e-01,nan
70,5.090925,0.0003,0.007954,adamw,42,338.0112,3.19882902e+02,5.41752446e+00,6.84491553e-02,2.13981913e-04,-1.55541572e-01,nan
80,4.429249,0.0003,0.007961,adamw,42,338.0112,3.19864844e+02,2.62874632e+00,6.43434745e-02,2.01158320e-04,-2.90472656e-01,nan
90,4.017164,0.0003,0.007852,adamw,42,338.0112,3.19845491e+02,2.85179501e+00,6.03249113e-02,1.88606414e-04,-1.82146098e-01,nan
100,3.666207,0.0003,0.008037,adamw,42,338.0112,3.19826558e+02,2.04515171e+00,5.42672555e-02,1.69677139e-04,-2.10749835e-01,5.69323968e+02
110,3.468373,0.0003,0.007938,adamw,42,338.0112,3.19808618e+02,2.20690709e+00,4.77837122e-02,1.49413460e-04,-1.99504244e-01,nan
120,3.313177,0.0003,0.008454,adamw,42,338.0112,3.19791698e+02,2.34075744e+00,4.40598472e-02,1.37776707e-04,-1.56351936e-01,nan
130,3.221198,0.0003,0.007862,adamw,42,338.0112,3.19775073e+02,3.04487045e+00,4.12968535e-02,1.29143442e-04,-2.28743329e-01,nan
140,3.095802,0.0003,0.007987,adamw,42,338.0112,3.19758323e+02,2.42602028e+00,3.87338559e-02,1.21134785e-04,-1.35616516e-01,nan
150,2.998927,0.0003,0.007928,adamw,42,338.0112,3.19741538e+02,2.47020213e+00,3.74420208e-02,1.17100897e-04,-2.01926658e-01,5.09013943e+02
160,2.869595,0.0003,0.008315,adamw,42,338.0112,3.19724520e+02,2.32936467e+00,3.51695518e-02,1.09999545e-04,-1.44501627e-01,nan
170,2.836308,0.0003,0.007980,adamw,42,338.0112,3.19707721e+02,1.99546962e+00,3.34732443e-02,1.04699518e-04,-1.30801555e-01,nan
180,2.773837,0.0003,0.008028,adamw,42,338.0112,3.19691108e+02,2.70083058e+00,3.20611974e-02,1.00288049e-04,-2.14345861e-01,nan
190,2.755902,0.0003,0.008184,adamw,42,338.0112,3.19674396e+02,1.48586678e+00,3.06266375e-02,9.58057257e-05,-2.11215349e-01,nan
200,2.731567,0.0003,0.007881,adamw,42,338.0112,3.19658091e+02,2.14077494e+00,2.95250768e-02,9.23645536e-05,-2.20947532e-01,3.02559669e+02
210,2.646901,0.0003,0.007917,adamw,42,338.0112,3.19642354e+02,2.36417968e+00,2.77311214e-02,8.67567175e-05,-1.56547919e-01,nan
220,2.649787,0.0003,0.007789,adamw,42,338.0112,3.19626747e+02,2.56433768e+00,2.77625944e-02,8.68594217e-05,-1.46188499e-01,nan
230,2.633638,0.0003,0.007818,adamw,42,338.0112,3.19611320e+02,2.31602603e+00,2.69584707e-02,8.43476719e-05,-2.28627629e-01,nan
240,2.580261,0.0003,0.007991,adamw,42,338.0112,3.19596200e+02,1.78701190e+00,2.62349781e-02,8.20878913e-05,-1.50929786e-01,nan
250,2.550360,0.0003,0.007918,adamw,42,338.0112,3.19581421e+02,3.15841317e+00,2.70171725e-02,8.45392464e-05,-2.92894208e-01,4.89987377e+02
260,2.579504,0.0003,0.008058,adamw,42,338.0112,3.19567198e+02,2.79844911e+00,2.51914823e-02,7.88300003e-05,-1.48521095e-01,nan
270,2.529995,0.0003,0.008081,adamw,42,338.0112,3.19552868e+02,1.88275164e+00,2.43022583e-02,7.60508221e-05,-2.38128021e-01,nan
280,2.503842,0.0003,0.007777,adamw,42,338.0112,3.19538590e+02,2.71260358e+00,2.22991870e-02,6.97855838e-05,-1.02906875e-01,nan
290,2.489068,0.0003,0.007815,adamw,42,338.0112,3.19524409e+02,2.98347711e+00,2.36201767e-02,7.39229181e-05,-2.76638110e-01,nan
300,2.487946,0.0003,0.007850,adamw,42,338.0112,3.19510137e+02,2.75743279e+00,2.41281457e-02,7.55160570e-05,-2.28283621e-01,4.96000470e+02
