step,loss,lr,step_time,optimizer,seed,peak_memory_mb,param_norm_l2,grad_norm_l2,update_norm_l2,update_ratio,grad_update_cos,hessian_top_eig
10,167.148573,0.001,0.075788,sgd,42,126.4351,3.19638660e+02,3.53861103e+01,1.99279277e-01,6.23451733e-04,-9.64790033e-01,nan
20,93.541964,0.001,0.007322,sgd,42,139.2397,3.19353396e+02,3.07449507e+01,3.05897471e-01,9.57865095e-04,-7.07257433e-01,nan
30,25.210125,0.001,0.007735,sgd,42,139.2397,3.19058718e+02,1.61304021e+01,1.69049112e-01,5.29836993e-04,-3.01797366e-01,nan
40,13.220309,0.001,0.007897,sgd,42,139.2397,3.18751818e+02,1.01608937e+01,9.40083955e-02,2.94926617e-04,-6.12097767e-01,nan
50,9.109892,0.001,0.007343,sgd,42,139.2397,3.18438257e+02,7.84493416e+00,6.15064781e-02,1.93150404e-04,-2.23749492e-01,2.03242602e+02
60,7.566158,0.001,0.007666,sgd,42,331.6089,3.18122260e+02,4.67455946e+00,4.83844222e-02,1.52093796e-04,-4.25014881e-01,nan
70,6.627108,0.001,0.007724,sgd,42,331.6089,3.17805472e+02,3.14993998e+00,4.24541688e-02,1.33585393e-04,-5.19458063e-01,nan
80,6.010946,0.001,0.007399,sgd,42,331.6089,3.17488681e+02,2.31821048e+00,3.98206402e-02,1.25423811e-04,-5.29579158e-01,nan
90,5.501797,0.001,0.007705,sgd,42,331.6089,3.17172083e+02,2.07519193e+00,3.80459738e-02,1.19953728e-04,-4.83318623e-01,nan
100,5.034070,0.001,0.007431,sgd,42,331.6089,3.16855810e+02,2.04319971e+00,3.69972777e-02,1.16763766e-04,-4.47502665e-01,3.33683337e+02
110,4.724677,0.001,0.008024,sgd,42,331.6089,3.16539832e+02,1.80026937e+00,3.58057219e-02,1.13116007e-04,-4.13479846e-01,nan
120,4.496154,0.001,0.007281,sgd,42,331.6089,3.16224158e+02,1.93330018e+00,3.49582790e-02,1.10549046e-04,-3.04117541e-01,nan
130,4.328217,0.001,0.007442,sgd,42,331.6089,3.15908752e+02,1.65158265e+00,3.44061365e-02,1.08911628e-04,-3.04873720e-01,nan
140,4.142397,0.001,0.007457,sgd,42,331.6089,3.15593596e+02,1.47193945e+00,3.39094305e-02,1.07446510e-04,-2.70579642e-01,nan
150,4.006489,0.001,0.007517,sgd,42,331.6089,3.15278704e+02,1.54224584e+00,3.35143594e-02,1.06300740e-04,-2.57221856e-01,2.97583552e+02
160,3.817456,0.001,0.007594,sgd,42,331.6089,3.14964085e+02,1.38921108e+00,3.31676507e-02,1.05306136e-04,-2.33877834e-01,nan
170,3.764380,0.001,0.007716,sgd,42,331.6089,3.14649735e+02,1.00713888e+00,3.28859567e-02,1.04516079e-04,-2.41484313e-01,nan
180,3.662959,0.001,0.007802,sgd,42,331.6089,3.14335659e+02,1.12082375e+00,3.26828217e-02,1.03974273e-04,-2.11286019e-01,nan
190,3.597085,0.001,0.007556,sgd,42,331.6089,3.14021852e+02,1.10672519e+00,3.24804541e-02,1.03433738e-04,-1.86661328e-01,nan
200,3.576696,0.001,0.007514,sgd,42,331.6089,3.13708305e+02,1.01462476e+00,3.23481551e-02,1.03115393e-04,-1.82318545e-01,2.96450085e+02
210,3.447534,0.001,0.007542,sgd,42,331.6089,3.13395043e+02,1.22360190e+00,3.22136355e-02,1.02789231e-04,-1.67455270e-01,nan
220,3.460340,0.001,0.007470,sgd,42,331.6089,3.13082066e+02,1.06489682e+00,3.21478642e-02,1.02681909e-04,-1.65833691e-01,nan
230,3.413117,0.001,0.008108,sgd,42,331.6089,3.12769376e+02,1.10195458e+00,3.19923533e-02,1.02287359e-04,-1.11739523e-01,nan
240,3.354677,0.001,0.007555,sgd,42,331.6089,3.12456970e+02,1.09431660e+00,3.18936351e-02,1.02073688e-04,-1.01443614e-01,nan
250,3.310482,0.001,0.007722,sgd,42,331.6089,3.12144862e+02,1.16726425e+00,3.18171811e-02,1.01930818e-04,-1.04865908e-01,3.03159883e+02
260,3.332807,0.001,0.007588,sgd,42,331.6089,3.11833030e+02,1.17635364e+00,3.17937472e-02,1.01957600e-04,-9.87008552e-02,nan
270,3.271623,0.001,0.007600,sgd,42,331.6089,3.11521497e+02,1.04863159e+00,3.17301164e-02,1.01855303e-04,-1.39614922e-01,nan
280,3.204877,0.001,0.007535,sgd,42,331.6089,3.11210274e+02,9.24906586e-01,3.16134302e-02,1.01582219e-04,-1.11839503e-01,nan
290,3.198079,0.001,0.007644,sgd,42,331.6089,3.10899358e+02,9.23905159e-01,3.15515929e-02,1.01484909e-04,-1.01147993e-01,nan
300,3.180888,0.001,0.007511,sgd,42,331.6089,3.10588740e+02,8.41462290e-01,3.15152388e-02,1.01469354e-04,-1.21761669e-01,2.85740425e+02
