step,loss,lr,step_time,optimizer,seed,peak_memory_mb,param_norm_l2,grad_norm_l2,update_norm_l2,update_ratio,grad_update_cos,hessian_top_eig,test_loss,test_ppl,test_acc,test_ece,generalization_gap
260,2.705098,0.01,0.007476,sgd,42,331.6089,2.48353006e+02,7.75519329e-01,2.51223009e-01,1.01155615e-03,-3.19699066e-02,nan,2.70494857e+00,1.49535477e+01,2.98828125e-01,5.25703834e-02,-1.49101019e-04
270,2.689885,0.01,0.007482,sgd,42,331.6089,2.45860043e+02,8.28400032e-01,2.48615322e-01,1.01120670e-03,-2.54944242e-02,nan,2.69350994e+00,1.47834740e+01,2.98583984e-01,5.99036433e-02,3.62474918e-03
280,2.676115,0.01,0.007775,sgd,42,331.6089,2.43392155e+02,7.99071923e-01,2.46161360e-01,1.01137754e-03,-1.53303230e-02,nan,2.68264726e+00,1.46237550e+01,2.95776367e-01,3.66282135e-02,6.53234124e-03
290,2.679523,0.01,0.007880,sgd,42,331.6089,2.40949187e+02,4.33279728e-01,2.43751656e-01,1.01163095e-03,-3.76656240e-02,nan,2.68101865e+00,1.45999580e+01,3.02673340e-01,5.51336532e-02,1.49585009e-03
300,2.669354,0.01,0.007831,sgd,42,331.6089,2.38530762e+02,4.78751989e-01,2.41347476e-01,1.01180860e-03,-1.87851003e-02,5.68412803e+01,2.67430907e+00,1.45023264e+01,2.99377441e-01,5.73778898e-02,4.95496988e-03
310,2.660254,0.01,0.007447,sgd,42,331.6089,2.36136699e+02,6.01352590e-01,2.38889906e-01,1.01165938e-03,-3.49211916e-02,nan,2.66348207e+00,1.43461565e+01,2.92663574e-01,3.47935009e-02,3.22780609e-03
320,2.669477,0.01,0.007761,sgd,42,331.6089,2.33766767e+02,8.08054737e-01,2.36330444e-01,1.01096682e-03,-1.35811316e-02,nan,2.65481141e+00,1.42223037e+01,2.97119141e-01,3.09569721e-02,-1.46659791e-02
330,2.661070,0.01,0.008666,sgd,42,331.6089,2.31420750e+02,6.61124389e-01,2.33994314e-01,1.01112071e-03,-1.48530054e-02,nan,2.64650276e+00,1.41046251e+01,3.02978516e-01,5.05593533e-02,-1.45673931e-02
340,2.640634,0.01,0.007942,sgd,42,331.6089,2.29098336e+02,4.08960701e-01,2.31545376e-01,1.01068118e-03,-1.42745026e-02,nan,2.64052364e+00,1.40205434e+01,2.98950195e-01,4.09503648e-02,-1.10441446e-04
350,2.621565,0.01,0.007496,sgd,42,331.6089,2.26799372e+02,4.71675872e-01,2.29281515e-01,1.01094422e-03,-1.14569739e-02,5.46756838e+01,2.63476714e+00,1.39400661e+01,2.99133301e-01,2.75928850e-02,1.32021368e-02
360,2.609408,0.01,0.007437,sgd,42,331.6089,2.24523463e+02,4.71964992e-01,2.26998380e-01,1.01102298e-03,-2.26507922e-02,nan,2.62670270e+00,1.38280992e+01,2.95288086e-01,2.54571340e-02,1.72951043e-02
370,2.613922,0.01,0.007418,sgd,42,331.6089,2.22270463e+02,1.00406924e+00,2.24702507e-01,1.01094182e-03,-2.19242277e-02,nan,2.62869594e+00,1.38556894e+01,2.87109375e-01,3.37248293e-02,1.47742927e-02
380,2.613925,0.01,0.007781,sgd,42,331.6089,2.20040212e+02,5.50853176e-01,2.22474972e-01,1.01106507e-03,-1.35357494e-02,nan,2.61489666e+00,1.36658040e+01,3.04626465e-01,4.58178409e-02,9.71603394e-04
390,2.628917,0.01,0.007725,sgd,42,331.6089,2.17832321e+02,5.81099386e-01,2.20150540e-01,1.01064222e-03,-2.34601259e-02,nan,2.60671970e+00,1.35545150e+01,3.01940918e-01,4.12683607e-02,-2.21975386e-02
400,2.574662,0.01,0.007436,sgd,42,331.6089,2.15646756e+02,4.98799234e-01,2.17932777e-01,1.01060077e-03,-1.52547220e-02,5.19986192e+01,2.60748282e+00,1.35648627e+01,2.97973633e-01,2.69912317e-02,3.28209698e-02
410,2.579855,0.01,0.007506,sgd,42,331.6089,2.13483149e+02,5.37396828e-01,2.15790865e-01,1.01080982e-03,-2.80272927e-02,nan,2.59847870e+00,1.34432713e+01,3.00720215e-01,3.16253527e-02,1.86232626e-02
420,2.572039,0.01,0.008170,sgd,42,331.6089,2.11341350e+02,5.74085981e-01,2.13734488e-01,1.01132356e-03,-2.56627541e-02,nan,2.59311721e+00,1.33713881e+01,3.00292969e-01,3.03816206e-02,2.10782468e-02
430,2.583247,0.01,0.008014,sgd,42,331.6089,2.09221107e+02,4.94477652e-01,2.11475495e-01,1.01077515e-03,-2.13665407e-02,nan,2.58974683e+00,1.33263974e+01,3.02246094e-01,3.49929139e-02,6.49979115e-03
440,2.556367,0.01,0.007406,sgd,42,331.6089,2.07122247e+02,3.86709345e-01,2.09334647e-01,1.01068161e-03,-1.29157909e-02,nan,2.58566892e+00,1.32721642e+01,3.00720215e-01,3.50211968e-02,2.93016195e-02
450,2.577678,0.01,0.007694,sgd,42,331.6089,2.05044518e+02,6.90587224e-01,2.07179983e-01,1.01041464e-03,-9.54224714e-03,4.43732684e+01,2.58133793e+00,1.32148068e+01,3.03894043e-01,3.70183805e-02,3.66039276e-03
