step,loss,lr,step_time,optimizer,seed,peak_memory_mb,param_norm_l2,grad_norm_l2,update_norm_l2,update_ratio,grad_update_cos,hessian_top_eig
860,2.083735,0.001,0.008101,adamw,42,338.0112,3.17328261e+02,2.10740556e+00,1.10819477e-01,3.49226623e-04,-2.15634956e-01,nan
870,2.033612,0.001,0.008146,adamw,42,338.0112,3.17298170e+02,2.29647367e+00,1.11669315e-01,3.51938098e-04,-2.11393510e-01,nan
880,2.060926,0.001,0.008261,adamw,42,338.0112,3.17268798e+02,3.41738644e+00,1.15641930e-01,3.64491972e-04,-2.18477766e-01,nan
890,2.060263,0.001,0.008242,adamw,42,338.0112,3.17240324e+02,2.27660117e+00,1.15341842e-01,3.63578755e-04,-1.25176601e-01,nan
900,2.048060,0.001,0.008216,adamw,42,338.0112,3.17211181e+02,3.70950460e+00,1.17193194e-01,3.69448498e-04,-2.58795911e-01,2.10619837e+02
910,2.025331,0.001,0.008260,adamw,42,338.0112,3.17180186e+02,2.61632482e+00,1.18913623e-01,3.74908738e-04,-1.66896681e-01,nan
920,2.017914,0.001,0.008269,adamw,42,338.0112,3.17150188e+02,2.28390194e+00,1.18327471e-01,3.73096014e-04,-2.08935734e-01,nan
930,2.007642,0.001,0.008261,adamw,42,338.0112,3.17119705e+02,1.50328019e+00,1.11636003e-01,3.52031112e-04,-2.04525168e-01,nan
940,1.980815,0.001,0.007937,adamw,42,338.0112,3.17090004e+02,2.37702408e+00,1.15884377e-01,3.65462096e-04,-2.01297543e-01,nan
950,1.980979,0.001,0.008392,adamw,42,338.0112,3.17060354e+02,1.92064017e+00,1.16917543e-01,3.68754850e-04,-1.20096765e-01,1.81387036e+02
960,1.953874,0.001,0.008404,adamw,42,338.0112,3.17028470e+02,1.53805583e+00,1.13102648e-01,3.56758646e-04,-1.50678248e-01,nan
970,1.962147,0.001,0.008094,adamw,42,338.0112,3.16996407e+02,1.35920875e+00,1.15462526e-01,3.64239227e-04,-1.24245786e-01,nan
980,1.957593,0.001,0.008228,adamw,42,338.0112,3.16964978e+02,2.63959681e+00,1.29354233e-01,4.08102604e-04,-2.11441983e-01,nan
990,1.931765,0.001,0.008172,adamw,42,338.0112,3.16935153e+02,3.03726324e+00,1.21685326e-01,3.83943921e-04,-9.98553328e-02,nan
1000,1.975462,0.001,0.008085,adamw,42,338.0112,3.16902387e+02,2.00737098e+00,1.27009947e-01,4.00785707e-04,-1.95591464e-01,2.19943422e+02
