optimizer,lr,seed,final_loss,step_time,log_file
adamw,0.001,1,1.848477,0.029437,logs/real_text_1000_multiseed/adamw_lr0p001_seed1.csv
adamw,0.001,2,1.895276,0.025495,logs/real_text_1000_multiseed/adamw_lr0p001_seed2.csv
adamw,0.001,3,1.841042,0.029325,logs/real_text_1000_multiseed/adamw_lr0p001_seed3.csv
sgd,0.01,1,2.406162,0.026237,logs/real_text_1000_multiseed/sgd_lr0p01_seed1.csv
sgd,0.01,2,2.450828,0.028866,logs/real_text_1000_multiseed/sgd_lr0p01_seed2.csv
sgd,0.01,3,2.445020,0.023210,logs/real_text_1000_multiseed/sgd_lr0p01_seed3.csv
rmsprop,0.0001,1,2.508553,0.026798,logs/real_text_1000_multiseed/rmsprop_lr0p0001_seed1.csv
rmsprop,0.0001,2,2.622390,0.029328,logs/real_text_1000_multiseed/rmsprop_lr0p0001_seed2.csv
rmsprop,0.0001,3,2.550518,0.028346,logs/real_text_1000_multiseed/rmsprop_lr0p0001_seed3.csv
adafactor,0.01,1,2.309511,0.039952,logs/real_text_1000_multiseed/adafactor_lr0p01_seed1.csv
adafactor,0.01,2,2.377128,0.039736,logs/real_text_1000_multiseed/adafactor_lr0p01_seed2.csv
adafactor,0.01,3,2.375389,0.040319,logs/real_text_1000_multiseed/adafactor_lr0p01_seed3.csv
