optimizer,final_loss,best_loss,avg_step_time_s,peak_memory_mb,seed,max_step
adafactor,10.445418,10.445418,0.020561,1138.73,42,1000
sgd,10.629595,10.629595,0.007467,1175.95,42,1000
adamw,12.569229,12.569229,0.007855,1213.35,42,1000
rmsprop_pnorm,17.202972,17.202972,0.010568,1175.95,42,1000
rmsprop_no_memory,17.979002,17.979002,0.007785,1175.95,42,1000
rmsprop,17.995317,17.995317,0.008010,1175.95,42,1000
