step,loss,lr,step_time,optimizer,seed,peak_memory_mb,param_norm_l2,grad_norm_l2,update_norm_l2,update_ratio,grad_update_cos,hessian_top_eig,test_loss,test_ppl,test_acc,test_ece,generalization_gap
10,75.168292,0.001,0.073482,adamw,2,132.8374,3.17432254e+02,3.13844114e+01,6.24628158e-01,1.96775265e-03,-1.77949090e-01,nan,1.82691281e+01,8.59372627e+07,4.98046875e-02,7.29994020e-01,-5.68991640e+01
20,11.721625,0.001,0.008421,adamw,2,145.6421,3.17526035e+02,1.90297953e+01,2.96742368e-01,9.34544998e-04,-1.50850267e-01,nan,8.20272684e+00,3.65089215e+03,1.07971191e-01,4.31633093e-01,-3.51889811e+00
30,6.040290,0.001,0.007652,adamw,2,145.6421,3.17556370e+02,1.05066667e+01,1.97768316e-01,6.22781762e-04,-2.82826874e-01,nan,4.76714349e+00,1.17582885e+02,2.26684570e-01,3.31147714e-01,-1.27314606e+00
40,4.268393,0.001,0.007617,adamw,2,145.6421,3.17547025e+02,7.42461868e+00,1.46542656e-01,4.61483323e-04,-1.82956352e-01,nan,3.93649918e+00,5.12389087e+01,2.28942871e-01,1.87834120e-01,-3.31893480e-01
50,3.498325,0.001,0.007507,adamw,2,145.6421,3.17523754e+02,5.49278830e+00,1.18441786e-01,3.73017088e-04,-1.88453933e-01,3.41074528e+02,3.30062211e+00,2.71295111e+01,2.62145996e-01,1.46186944e-01,-1.97703385e-01
60,3.043410,0.001,0.007591,adamw,2,338.0112,3.17492685e+02,3.87141143e+00,9.67762803e-02,3.04814205e-04,-1.08073677e-01,nan,3.02267146e+00,2.05461066e+01,2.55554199e-01,9.41222152e-02,-2.07384348e-02
70,2.915803,0.001,0.007702,adamw,2,338.0112,3.17454298e+02,2.38364006e+00,8.66750754e-02,2.73031664e-04,-1.33835973e-01,nan,2.87771690e+00,1.77736478e+01,2.73010254e-01,7.25189973e-02,-3.80862713e-02
80,2.808271,0.001,0.007719,adamw,2,338.0112,3.17417037e+02,1.72511762e+00,7.56673672e-02,2.38384707e-04,-1.40281743e-01,nan,2.79042530e+00,1.62879456e+01,2.89855957e-01,4.93298416e-02,-1.78456068e-02
90,2.691155,0.001,0.008145,adamw,2,338.0112,3.17379932e+02,2.61863078e+00,6.94001268e-02,2.18665769e-04,-9.94415623e-02,nan,2.72604454e+00,1.52723581e+01,2.88879395e-01,5.59061730e-02,3.48891258e-02
100,2.664861,0.001,0.007677,adamw,2,338.0112,3.17341065e+02,1.44313317e+00,6.53004704e-02,2.05773779e-04,-7.27064522e-02,3.09623833e+02,2.68116462e+00,1.46020893e+01,3.00476074e-01,4.07187572e-02,1.63033724e-02
110,2.600680,0.001,0.007236,adamw,2,338.0112,3.17304458e+02,1.41032308e+00,6.43118636e-02,2.02681878e-04,-1.55454093e-01,nan,2.63469744e+00,1.39390944e+01,3.02307129e-01,2.30503189e-02,3.40169430e-02
120,2.572582,0.001,0.007843,adamw,2,338.0112,3.17267794e+02,2.19704865e+00,6.10814564e-02,1.92523343e-04,-1.51358631e-01,nan,2.60565564e+00,1.35400998e+01,3.07373047e-01,2.97918924e-02,3.30738723e-02
130,2.534813,0.001,0.007882,adamw,2,338.0112,3.17232482e+02,1.79572676e+00,6.08673400e-02,1.91869822e-04,-9.36528459e-02,nan,2.57536250e+00,1.31360782e+01,3.02368164e-01,1.41195472e-02,4.05492902e-02
140,2.489514,0.001,0.007551,adamw,2,338.0112,3.17197165e+02,2.27556540e+00,6.14300380e-02,1.93665155e-04,-1.47247453e-01,nan,2.54080647e+00,1.26899009e+01,3.12500000e-01,2.98131812e-02,5.12926221e-02
150,2.464144,0.001,0.007720,adamw,2,338.0112,3.17162550e+02,2.08587750e+00,6.24621714e-02,1.96940564e-04,-1.94304204e-01,2.83630167e+02,2.51215103e+00,1.23314269e+01,3.13171387e-01,1.65760843e-02,4.80073988e-02
