step,loss,lr,step_time,optimizer,seed,peak_memory_mb,param_norm_l2,grad_norm_l2,update_norm_l2,update_ratio,grad_update_cos,hessian_top_eig,test_loss,test_ppl,test_acc,test_ece,generalization_gap
10,82.088621,0.01,0.082426,sgd,2,126.4351,3.15812916e+02,2.25115759e+01,1.11366783e+00,3.52635303e-03,-2.34394826e-01,nan,1.41089089e+01,1.34097684e+06,6.84814453e-02,5.32803497e-01,-6.79797119e+01
20,9.940575,0.01,0.007634,sgd,2,139.2397,3.13422051e+02,1.71207191e+01,5.15159661e-01,1.64366119e-03,-5.22417213e-02,nan,7.34285057e+00,1.54511028e+03,1.25122070e-01,3.88966311e-01,-2.59772451e+00
30,5.652143,0.01,0.007289,sgd,2,139.2397,3.10570410e+02,4.62428784e+00,3.64674314e-01,1.17420817e-03,-1.35486235e-01,nan,4.46944410e+00,8.73081746e+01,1.90979004e-01,1.60857522e-01,-1.18269910e+00
40,4.079277,0.01,0.007608,sgd,2,139.2397,3.07554792e+02,4.38215302e+00,3.25027140e-01,1.05681052e-03,-1.51326535e-01,nan,3.68203503e+00,3.97271578e+01,1.69006348e-01,2.63389063e-02,-3.97241890e-01
50,3.423007,0.01,0.007387,sgd,2,139.2397,3.04500404e+02,1.89677622e+00,3.12916659e-01,1.02763955e-03,-3.15946009e-02,1.03343007e+02,3.31836280e+00,2.76151021e+01,1.83593750e-01,3.24082329e-02,-1.04644662e-01
60,3.194327,0.01,0.007250,sgd,2,331.6089,3.01453151e+02,1.71200523e+00,3.07015523e-01,1.01845186e-03,-6.57783538e-02,nan,3.15886697e+00,2.35439049e+01,1.98059082e-01,3.07759233e-02,-3.54600012e-02
70,3.132175,0.01,0.007391,sgd,2,331.6089,2.98428575e+02,1.80316805e+00,3.02413257e-01,1.01335221e-03,-3.80536170e-02,nan,3.11882421e+00,2.26197680e+01,2.20581055e-01,5.69216025e-02,-1.33509457e-02
80,3.087843,0.01,0.007608,sgd,2,331.6089,2.95431594e+02,8.16898261e-01,2.99166325e-01,1.01264161e-03,-4.07008639e-02,nan,3.08349881e+00,2.18346642e+01,2.30285645e-01,7.17820585e-02,-4.34439778e-03
90,3.047241,0.01,0.007471,sgd,2,331.6089,2.92463997e+02,1.17950483e+00,2.96413292e-01,1.01350353e-03,-3.85507224e-02,nan,3.06340221e+00,2.14002415e+01,2.03613281e-01,2.51110007e-02,1.61615193e-02
100,3.042280,0.01,0.007359,sgd,2,331.6089,2.89525855e+02,1.17288146e+00,2.93068340e-01,1.01223547e-03,-2.30007445e-02,8.97003995e+01,3.04997522e+00,2.11148211e+01,2.44262695e-01,6.92499598e-02,7.69518614e-03
110,3.021316,0.01,0.007197,sgd,2,331.6089,2.86617223e+02,8.22996913e-01,2.90120594e-01,1.01222317e-03,-2.11663723e-02,nan,3.02880228e+00,2.06724578e+01,2.30895996e-01,5.91593837e-02,7.48641491e-03
120,2.987804,0.01,0.007344,sgd,2,331.6089,2.83737905e+02,1.36722397e+00,2.87553032e-01,1.01344596e-03,-5.61805145e-02,nan,3.01181886e+00,2.03243334e+01,2.42919922e-01,6.71580951e-02,2.40148962e-02
130,2.973155,0.01,0.007455,sgd,2,331.6089,2.80887593e+02,9.03317234e-01,2.84326483e-01,1.01224294e-03,-1.20454187e-02,nan,2.99431977e+00,1.99717698e+01,2.61474609e-01,9.19055531e-02,2.11652219e-02
140,2.947397,0.01,0.007450,sgd,2,331.6089,2.78066044e+02,9.82660344e-01,2.81620311e-01,1.01278210e-03,-4.66547172e-02,nan,2.96915746e+00,1.94755037e+01,2.71362305e-01,1.00148132e-01,2.17606306e-02
150,2.934562,0.01,0.007359,sgd,2,331.6089,2.75272933e+02,1.16668639e+00,2.78790939e-01,1.01278007e-03,-4.29102957e-02,5.05808849e+01,2.95289454e+00,1.91613368e+01,2.73010254e-01,9.70413597e-02,1.83328569e-02
