step,loss,lr,step_time,optimizer,seed,peak_memory_mb,param_norm_l2,grad_norm_l2,update_norm_l2,update_ratio,grad_update_cos,hessian_top_eig
900,2.375305,0.01,0.015718,adafactor,2,325.2686,9.46530982e+02,9.97785079e-01,1.13981834e+01,1.20420605e-02,-5.76257771e-02,1.86973546e+02
910,2.377521,0.01,0.016254,adafactor,2,325.2686,9.53193150e+02,7.18641608e-01,1.14407000e+01,1.20024992e-02,-5.67238270e-02,nan
920,2.357640,0.01,0.015856,adafactor,2,325.2686,9.55516390e+02,7.29464437e-01,1.07852568e+01,1.12873593e-02,-1.43815570e-01,nan
930,2.341554,0.01,0.016269,adafactor,2,325.2686,9.57836075e+02,8.95967150e-01,1.13203570e+01,1.18186789e-02,-8.49905596e-02,nan
940,2.389560,0.01,0.015860,adafactor,2,325.2686,9.59613465e+02,8.73647244e-01,1.12558745e+01,1.17295921e-02,-9.07576236e-02,nan
950,2.346392,0.01,0.015450,adafactor,2,325.2686,9.60938531e+02,8.52118076e-01,1.14832040e+01,1.19499881e-02,-7.00368058e-02,6.52526158e+01
960,2.373574,0.01,0.016025,adafactor,2,325.2686,9.62915160e+02,7.64877217e-01,1.11015493e+01,1.15291042e-02,-8.52180039e-02,nan
970,2.395044,0.01,0.016108,adafactor,2,325.2686,9.66073645e+02,1.21401630e+00,1.15018611e+01,1.19057809e-02,-7.10057932e-02,nan
980,2.342836,0.01,0.016018,adafactor,2,325.2686,9.66863963e+02,7.61909502e-01,1.11615175e+01,1.15440413e-02,-6.42024074e-02,nan
990,2.352626,0.01,0.016072,adafactor,2,325.2686,9.66867023e+02,8.02098005e-01,1.11434481e+01,1.15253162e-02,-6.88579937e-02,nan
1000,2.366434,0.01,0.015816,adafactor,2,325.2686,9.67544965e+02,8.95962465e-01,1.12959055e+01,1.16748120e-02,-8.13930207e-02,-1.25204884e+02
