step,loss,lr,step_time,optimizer,seed,peak_memory_mb,param_norm_l2,grad_norm_l2,update_norm_l2,update_ratio,grad_update_cos,hessian_top_eig,test_loss,test_ppl,test_acc,test_ece,generalization_gap
10,81.026315,0.0001,0.077532,rmsprop,2,126.4351,3.16002078e+02,1.72618966e+01,2.58940586e-01,8.19426847e-04,-6.49036472e-01,nan,2.61885211e+01,4.85165195e+08,4.01000977e-02,8.77978138e-01,-5.48377934e+01
20,20.907202,0.0001,0.007881,rmsprop,2,139.2397,3.15371014e+02,2.14612135e+01,2.15622994e-01,6.83712150e-04,-6.65783492e-01,nan,1.51931198e+01,3.96540981e+06,5.94482422e-02,7.58143777e-01,-5.71408238e+00
30,13.586748,0.0001,0.007463,rmsprop,2,139.2397,3.14866664e+02,2.08289768e+01,1.78018664e-01,5.65377935e-04,-6.55362688e-01,nan,1.16509864e+01,1.14804554e+05,1.15478516e-01,7.07664564e-01,-1.93576112e+00
40,10.114450,0.0001,0.007675,rmsprop,2,139.2397,3.14425427e+02,1.31970145e+01,1.27290105e-01,4.04834005e-04,-5.95920228e-01,nan,8.54356265e+00,5.13360105e+03,1.36596680e-01,5.82479551e-01,-1.57088733e+00
50,7.782480,0.0001,0.007726,rmsprop,2,139.2397,3.14023315e+02,5.11737511e+00,8.48175365e-02,2.70099488e-04,-5.07556355e-01,5.88249918e+02,6.80839634e+00,9.05417659e+02,1.05346680e-01,5.33617914e-01,-9.74083805e-01
60,6.574981,0.0001,0.007423,rmsprop,2,331.6089,3.13647714e+02,1.30341144e+01,1.08733556e-01,3.46674155e-04,-5.95522286e-01,nan,6.14651126e+00,4.67085001e+02,2.01049805e-01,4.61908435e-01,-4.28469861e-01
70,5.747225,0.0001,0.007671,rmsprop,2,331.6089,3.13291654e+02,7.61257030e+00,7.89757717e-02,2.52083867e-04,-5.05967836e-01,nan,5.34354639e+00,2.09253491e+02,1.56188965e-01,3.67381134e-01,-4.03678894e-01
80,5.219368,0.0001,0.007839,rmsprop,2,331.6089,3.12950773e+02,1.27848955e+01,1.02739402e-01,3.28292535e-04,-6.03639013e-01,nan,4.98957157e+00,1.46873485e+02,2.22106934e-01,3.70370621e-01,-2.29796314e-01
90,4.785625,0.0001,0.007829,rmsprop,2,331.6089,3.12621464e+02,1.65526537e+01,1.20584504e-01,3.85720489e-04,-6.35452776e-01,nan,4.74063772e+00,1.14507202e+02,2.02514648e-01,3.46877640e-01,-4.49869752e-02
100,4.528779,0.0001,0.007666,rmsprop,2,331.6089,3.12301947e+02,1.41274741e+01,1.03778434e-01,3.32301590e-04,-6.11893599e-01,7.52737322e+02,4.23175067e+00,6.88376385e+01,2.21252441e-01,2.39845233e-01,-2.97028601e-01
110,4.175934,0.0001,0.008102,rmsprop,2,331.6089,3.11990264e+02,5.24202190e+00,6.94470682e-02,2.22593703e-04,-5.15083291e-01,nan,4.05997354e+00,5.79727770e+01,2.12097168e-01,2.12015074e-01,-1.15960181e-01
120,3.945880,0.0001,0.007829,rmsprop,2,331.6089,3.11684967e+02,2.20028397e+01,1.51600464e-01,4.86390041e-04,-6.60790364e-01,nan,4.62677062e+00,1.02183541e+02,1.92016602e-01,2.54917872e-01,6.80890942e-01
130,3.950790,0.0001,0.007432,rmsprop,2,331.6089,3.11385587e+02,1.07672517e+01,9.48561744e-02,3.04626092e-04,-6.06367530e-01,nan,3.90898481e+00,4.98483208e+01,2.54577637e-01,2.62158287e-01,-4.18047845e-02
140,3.783083,0.0001,0.007875,rmsprop,2,331.6089,3.11090879e+02,1.38660861e+01,1.04199306e-01,3.34948125e-04,-6.19311959e-01,nan,3.70626640e+00,4.07015593e+01,2.25952148e-01,1.90747689e-01,-7.68164873e-02
150,3.712958,0.0001,0.007849,rmsprop,2,331.6089,3.10800556e+02,1.32115893e+01,1.01214940e-01,3.25658812e-04,-6.11108857e-01,6.84849892e+02,3.55928573e+00,3.51380901e+01,2.44384766e-01,1.57032591e-01,-1.53672606e-01
160,3.605544,0.0001,0.008225,rmsprop,2,331.6089,3.10513809e+02,1.27914537e+01,9.78496275e-02,3.15121662e-04,-6.02034181e-01,nan,3.52118441e+00,3.38244669e+01,2.48596191e-01,1.98044225e-01,-8.43592465e-02
170,3.525669,0.0001,0.007557,rmsprop,2,331.6089,3.10230190e+02,1.59504070e+01,1.18356966e-01,3.81513372e-04,-6.31608614e-01,nan,3.63043824e+00,3.77293474e+01,2.43713379e-01,2.21922727e-01,1.04768902e-01
