step,loss,lr,step_time,optimizer,seed,peak_memory_mb,param_norm_l2,grad_norm_l2,update_norm_l2,update_ratio,grad_update_cos,hessian_top_eig
900,1.876502,0.001,0.007781,adamw,3,338.0112,3.14808075e+02,2.00941056e+00,1.29440806e-01,4.11173715e-04,-5.89619896e-02,1.64991607e+02
910,1.901565,0.001,0.008009,adamw,3,338.0112,3.14776499e+02,1.73325272e+00,1.25434038e-01,3.98486032e-04,-1.10859251e-01,nan
920,1.887367,0.001,0.008177,adamw,3,338.0112,3.14745750e+02,1.99045905e+00,1.30854543e-01,4.15746815e-04,-6.47207290e-02,nan
930,1.867459,0.001,0.008157,adamw,3,338.0112,3.14715125e+02,2.47123955e+00,1.28551675e-01,4.08469961e-04,-2.20637537e-01,nan
940,1.851753,0.001,0.007920,adamw,3,338.0112,3.14684138e+02,2.20924426e+00,1.37490619e-01,4.36916268e-04,-2.43225927e-01,nan
950,1.843696,0.001,0.008159,adamw,3,338.0112,3.14652724e+02,2.52318827e+00,1.33580030e-01,4.24531618e-04,-1.83706764e-01,1.30173943e+02
960,1.831770,0.001,0.008075,adamw,3,338.0112,3.14621141e+02,2.04650722e+00,1.38455440e-01,4.40070366e-04,-2.74112716e-01,nan
970,1.847811,0.001,0.007857,adamw,3,338.0112,3.14591368e+02,2.20885461e+00,1.37174606e-01,4.36040590e-04,-1.62387189e-01,nan
980,1.856857,0.001,0.007975,adamw,3,338.0112,3.14561380e+02,2.63876168e+00,1.32593579e-01,4.21518937e-04,-1.55637142e-01,nan
990,1.837168,0.001,0.007965,adamw,3,338.0112,3.14529235e+02,2.48009369e+00,1.35717339e-01,4.31493560e-04,-1.99341959e-01,nan
1000,1.841042,0.001,0.007722,adamw,3,338.0112,3.14499559e+02,2.09036169e+00,1.38805051e-01,4.41352132e-04,-2.00248996e-01,1.27967325e+02
